county,cases,latitude,longitude
Atlantic County,6,39.5143268,-74.6632883
Bergen County,609,40.9678345,-74.0563254
Burlington County,36,39.9325409,-74.7226665
Camden County,33,39.8014709,-74.968553
Cape May County,2,39.1765386,-74.8012119
Cumberland County,1,39.3183341,-75.1623239
Essex County,273,40.7913922,-74.2479444
Gloucester County,13,39.7267303,-75.1535378
Hudson County,190,40.7381635,-74.0550731
Hunterdon County ,18,40.5770634,-74.9261552
Mercer County,50,40.2807177,-74.7033717
Middlesex County,210,40.4279708,-74.3963102
Monmouth County,238,40.2932319,-74.1671114
Morris County,174,40.8679538,-74.5601181
Ocean County,143,39.977818,-74.3319287
Passaic County,138,41.0461864,-74.3177933
Salem County,1,39.5980987,-75.3488201
Somerset County,64,40.5675084,-74.6189556
Sussex County,15,41.133372,-74.6930393
Union County,189,40.6652251,-74.3045277
Warren County,12,40.8602222,-74.9720493
