country,cases,new_cases,deaths,new_deaths,percent_deaths,serious_and_critical,recovered,latitude,longitude
Kuwait,208,13,0,0,0.0,7,49,29.2733964,47.4979476
Kyrgyzstan,44,0,0,0,0.0,,,41.5089324,74.724091
Latvia,221,0,0,0,0.0,,,56.8406494,24.7537645
Lebanon,368,35,6,2,0.0163,2,3,33.8750629,35.843409
Liberia,4,0,0,0,0.0,,,5.7499721,-9.3658524
Liechtenstein,51,0,0,0,0.0,,,47.1416307,9.5531527
Lithuania,290,35,4,2,0.0138,,1,55.3500003,23.7499997
Luxembourg,1453,120,9,1,0.0062,,,49.8158683,6.1296751
Macau,29,0,0,0,0.0,,10,22.1757605,113.5514142
Madagascar,19,0,0,0,0.0,,,-18.9249604,46.4416422
Malaysia,2031,235,23,6,0.0113,45,215,4.5693754,102.2656823
Maldives,13,0,0,0,0.0,,8,4.7064352,73.3287853
Malta,129,0,0,0,0.0,1,2,35.8885993,14.4476911
Mauritius,52,4,2,0,0.0385,,,-20.2759451,57.5703566
Mexico,475,0,6,0,0.0126,7,35,19.4326296,-99.1331785
Moldova,149,0,1,0,0.0067,,2,47.2879608,28.5670941
Monaco,27,0,0,0,0.0,,1,43.7323492,7.4276832
Mongolia,10,0,0,0,0.0,2,,46.8250388,103.8499736
Montenegro,67,15,1,0,0.0149,,,42.9868853,19.5180992
Morocco,275,50,10,4,0.0364,,8,31.1728205,-7.3362482
Myanmar,3,0,0,0,0.0,,0,17.1750495,95.9999652
Namibia,6,0,0,0,0.0,0,0,-23.2335499,17.3231107
Nepal,3,0,0,0,0.0,,1,28.1083929,84.0917139
Netherlands,7431,1019,434,78,0.0584,405,2,52.5001698,5.7480821
New Caledonia,14,0,0,0,0.0,,,-20.454288599999998,164.55660583077983
New Zealand,368,85,0,0,0.0,1,27,-41.5000831,172.8344077
Nicaragua,2,0,0,0,0.0,0,0,12.6090157,-85.2936911
Nigeria,51,1,1,0,0.0196,,2,9.6000359,7.9999721
North Macedonia,177,0,2,0,0.0113,0,1,41.6171214,21.7168387
Northern Cyprus,42,0,0,0,0.0,,3,35.4594217,33.67831232848027
Norway,3346,269,14,0,0.0042,70,,60.5000209,9.0999715
Oman,109,10,0,0,0.0,0,23,21.0000287,57.0036901
Pakistan,1193,196,9,2,0.0075,,21,30.3308401,71.247499
Palestine,83,21,0,0,0.0,0,17,31.94696655,35.27386547291496
Panama,674,117,9,1,0.0134,,2,8.559559,-81.1308434
Paraguay,37,0,3,0,0.0811,,,-23.3165935,-58.1693445
Peru,580,100,7,0,0.0121,9,2,-6.8699697,-75.0458515
Philippines,707,71,45,7,0.0636,1,28,12.7503486,122.7312101
Poland,1221,170,16,2,0.0131,2,0,52.215933,19.134422
Portugal,3544,549,60,17,0.0169,61,43,40.0332629,-7.8896263
Qatar,549,23,0,0,0.0,,43,25.3336984,51.2295295
Romania,1029,123,23,6,0.0224,8,94,45.9852129,24.6859225
Russia,840,182,3,2,0.0036,,29,64.6863136,97.7453061
Rwanda,40,0,0,0,0.0,0,0,-1.9646631,30.0644358
Saint Lucia,3,0,0,0,0.0,0,0,13.8250489,-60.975036
San Marino,218,10,21,0,0.0963,13,5,43.9458623,12.458306
Saudi Arabia,1012,112,2,0,0.002,,8,25.6242618,42.3528328
Senegal,99,0,0,0,0.0,,9,14.4750607,-14.4529612
Serbia,457,154,1,0,0.0022,1,,44.024322850000004,21.07657433209902
Seychelles,7,0,0,0,0.0,1,0,-4.6574977,55.4540146
Singapore,683,52,2,0,0.0029,18,172,1.357107,103.8194992
Slovakia,216,0,0,0,0.0,,,48.7411522,19.4528646
Slovenia,562,34,6,2,0.0107,11,0,45.8133113,14.4808369
South Africa,927,218,0,0,0.0,,,-28.8166236,24.991639
South Korea,9241,104,132,6,0.0143,,3730,36.638392,127.6961188
Spain,57786,8271,4365,718,0.0755,3679,7015,39.3262345,-4.8380649
Sri Lanka,102,0,0,0,0.0,,3,7.5554942,80.7137847
Sudan,2,0,1,0,0.5,,,14.5844444,29.4917691
Suriname,8,0,0,0,0.0,,,4.1413025,-56.0771187
Sweden,2806,296,66,24,0.0235,,,59.6749712,14.5208584
Switzerland,11753,856,192,39,0.0163,,4,46.7985624,8.2319736
Syria,5,4,0,0,0.0,0,0,34.6401861,39.0494106
Taiwan,252,17,2,0,0.0079,0,29,23.9739374,120.9820179
