county,cases,latitude,longitude
Fairfield County,752,41.2943069,-73.37486
Hartford County,189,41.7923478,-72.722324
Litchfield County,52,41.767249,-73.2543049
Middlesex County,25,41.4510811,-72.5528113
New Haven County,222,41.4082,-72.9330283
New London County,15,41.4915013,-72.1237666
Tolland County,33,41.818446,-72.3562252
Windham County,3,41.8208345,-72.0051201
