country,cases,new_cases,deaths,new_deaths,percent_deaths,serious_and_critical,recovered,latitude,longitude
Russia,658,163,1,0,0.0015,,29,64.6863136,97.7453061
Rwanda,40,0,0,0,0.0,0,0,-1.9646631,30.0644358
Saint Lucia,3,0,0,0,0.0,0,0,13.8250489,-60.975036
San Marino,208,21,21,1,0.101,12,4,43.9458623,12.458306
Saudi Arabia,900,133,1,0,0.0011,,8,25.6242618,42.3528328
Senegal,99,20,0,0,0.0,,9,14.4750607,-14.4529612
Serbia,303,54,1,1,0.0033,1,,44.024322850000004,21.07657433209902
Seychelles,7,0,0,0,0.0,1,0,-4.6574977,55.4540146
Singapore,631,73,2,0,0.0032,17,160,1.357107,103.8194992
Sint Maarten,2,0,0,0,0.0,,0,50.8381331,4.9237307
Slovakia,216,30,0,0,0.0,,,48.7411522,19.4528646
Slovenia,528,86,4,1,0.0076,10,0,45.8133113,14.4808369
South Africa,709,155,0,0,0.0,,,-28.8166236,24.991639
South Korea,,100,126,2,0.0138,,,36.638392,127.6961188
Spain,,,,656,0.0737,,,39.3262345,-4.8380649
Sri Lanka,102,5,0,0,0.0,,3,7.5554942,80.7137847
Sudan,2,0,1,0,0.5,,,14.5844444,29.4917691
Suriname,8,2,0,0,0.0,,,4.1413025,-56.0771187
Sweden,,494,36,3,0.0143,,,59.6749712,14.5208584
Switzerland,,,153,23,0.014,,4,46.7985624,8.2319736
Taiwan,235,20,2,0,0.0085,0,29,23.9739374,120.9820179
Tanzania,12,0,0,0,0.0,,,-6.5247123,35.7878438
Thailand,934,107,4,0,0.0043,8,45,14.8971921,100.83273
The Gambia,3,1,1,0,0.3333,,,13.470062,-15.4900464
Togo,23,5,0,0,0.0,,1,8.7800265,1.0199765
Trinidad and Tobago,57,0,0,0,0.0,,,10.8677845,-60.9821067
Tunisia,114,25,3,0,0.0263,,1,33.8439408,9.400138
Turkey,,0,44,0,0.0233,,,38.9597594,34.9249653
Uganda,9,8,0,0,0.0,,0,1.5333554,32.2166578
Ukraine,113,29,4,1,0.0354,,1,49.4871968,31.2718321
United Arab Emirates,248,0,2,0,0.0081,2,45,24.0002488,53.9994829
United Kingdom,,,465,43,0.0488,20,135,54.7023545,-3.2765753
United States,,,918,146,0.014,664,41,39.7837304,-100.4458825
Uruguay,189,27,0,0,0.0,1,2,-32.8755548,-56.0201525
Uzbekistan,55,6,0,0,0.0,4,,41.32373,63.9528098
Vatican City,4,3,0,0,0.0,,,41.90381485,12.453152716779822
Venezuela,91,7,0,0,0.0,2,15,8.0018709,-66.1109318
Vietnam,148,14,0,0,0.0,,17,13.2904027,108.4265113
Zambia,12,9,0,0,0.0,,0,-14.5186239,27.5599164
Zimbabwe,3,0,1,0,0.3333,0,0,-18.4554963,29.7468414
