country,cases,new_cases,deaths,new_deaths,percent_deaths,serious_and_critical,recovered,latitude,longitude
Afghanistan,42,0,1,0,0.0238,,1,33.7680065,66.2385139
Albania,146,42,4,0,0.0274,4,17,41.000028,19.9999619
Algeria,264,34,19,2,0.072,,10,28.0000272,2.9999825
Andorra,188,55,0,0,0.0,3,2,42.5407167,1.5732033
Angola,3,0,0,0,0.0,,,-11.8775768,17.5691241
Antigua and Barbuda,3,0,0,0,0.0,0,0,17.2234721,-61.9554608
Argentina,387,86,6,2,0.0155,,63,-34.9964963,-64.9672817
Armenia,266,31,0,0,0.0,0,2,40.7696272,44.6736646
Aruba,17,5,0,0,0.0,,1,12.5013629,-69.9618475
Australia,,46,8,0,0.0034,,119,-24.7761086,134.755
Austria,,684,31,3,0.0056,16,9,47.2000338,13.199959
Azerbaijan,87,0,1,0,0.0115,,10,40.3936294,47.7872508
Bahamas,4,0,0,0,0.0,0,0,24.7736546,-78.0000547
Bahrain,419,27,4,1,0.0095,3,190,26.1551249,50.5344606
Bangladesh,39,6,5,2,0.1282,,5,24.4768783,90.2932426
Barbados,18,1,0,0,0.0,,,13.1500331,-59.5250305
Belarus,86,5,0,0,0.0,,22,53.4250605,27.6971358
Belgium,,668,178,56,0.0361,381,410,50.6402809,4.6667145
Benin,6,0,0,0,0.0,,,9.5293472,2.2584408
Bhutan,2,0,0,0,0.0,,,27.549511,90.5119273
Bolivia,32,4,0,0,0.0,,,-17.0568696,-64.9912286
Bosnia,168,31,3,2,0.0179,,2,44.3053476,17.5961467
Brazil,,232,57,11,0.0234,,1,-10.3333333,-53.2
Brunei,109,18,0,0,0.0,,2,4.4137155,114.5653908
Bulgaria,220,19,3,0,0.0136,2,3,42.6073975,25.4856617
Burkina Faso,114,15,4,0,0.0351,,7,12.0753083,-1.6880314
Cambodia,93,6,0,0,0.0,,2,13.5066394,104.869423
Cameroon,70,4,1,1,0.0143,,2,4.6125522,13.1535811
Canada,,575,34,6,0.0101,23,357,61.0666922,-107.9917071
Cape Verde,4,0,0,0,0.0,,,16.0000552,-24.0083947
Cayman Islands,6,1,1,0,0.1667,,,19.5417212,-80.5667132
Central African Republic,4,0,0,0,0.0,,,7.0323598,19.9981227
Chad,4,0,0,0,0.0,,,15.6134137,19.0156172
Chile,,396,3,2,0.0026,,22,-31.7613365,-71.3187697
China,,47,,4,0.0404,,,35.000074,104.999927
Colombia,378,72,3,0,0.0079,,6,2.8894434,-73.783892
Congo Republic,6,0,0,0,0.0,,,8.4407908,-80.4236988
Costa Rica,177,19,2,0,0.0113,,2,10.2735633,-84.0739102
Croatia,442,81,1,0,0.0023,6,22,45.5643442,17.0118954
Cuba,48,8,1,0,0.0208,3,1,23.0131338,-80.8328748
Curaçao,6,2,1,0,0.1667,,,12.1845,-68.9640875031406
Cyprus,124,8,3,2,0.0242,7,1,34.9823018,33.1451285
Czech Republic,,208,5,4,0.0033,2,10,49.8167003,15.4749544
DR Congo,48,3,3,1,0.0625,,1,-4.0324901,22.457478747924338
Denmark,,0,32,0,0.0187,46,3,55.670249,10.3333283
Diamond Princess,712,0,10,0,0.014,9,597,53.8953584,27.5554078
Djibouti,11,9,0,0,0.0,,,11.8145966,42.8453061
Dominican Republic,392,147,10,7,0.0255,,2,19.0974031,-70.3028026
Ecuador,,129,29,2,0.0239,41,3,-1.3397668,-79.3666965
Egypt,402,36,20,1,0.0498,,80,26.2540493,29.2675469
El Salvador,9,4,0,0,0.0,,,13.8000382,-88.9140683
Equatorial Guinea,9,0,0,0,0.0,,,1.613172,10.5170357
Estonia,404,35,0,0,0.0,,8,58.7523778,25.3319078
Eswatini,5,0,0,0,0.0,0,0,-26.5624806,31.3991317
Ethiopia,12,1,0,0,0.0,,,10.2116702,38.6521203
Fiji,5,1,0,0,0.0,,0,-18.1239696,179.0122737
Finland,792,92,3,2,0.0038,13,10,63.2467777,25.9209164
France,,,,231,0.0527,,,46.603354,1.8883335
French Polynesia,25,2,0,0,0.0,,,-16.03442485,-146.0490931059517
Gabon,6,0,1,0,0.1667,,,-0.8999695,11.6899699
Georgia,75,9,0,0,0.0,1,10,32.3293809,-83.1137366
Germany,,,206,47,0.0055,,,51.0834196,10.4234469
Ghana,53,0,2,0,0.0377,,,8.0300284,-1.0800271
Gibraltar,26,11,0,0,0.0,,13,36.10674695,-5.335277183483561
Greece,743,48,20,3,0.0269,34,19,38.9953683,21.9877132
Greenland,5,1,0,0,0.0,,2,77.6192349,-42.8125967
Guatemala,23,3,1,0,0.0435,,4,15.6356088,-89.8988087
Guernsey,23,3,0,0,0.0,,,49.579520200000005,-2.5290434448309886
Guinea,4,0,0,0,0.0,,1,10.7226226,-10.7083587
Guyana,5,0,1,1,0.2,,,4.8417097,-58.6416891
Haiti,7,2,0,0,0.0,,,19.1399952,-72.3570972
Honduras,36,6,0,0,0.0,,,15.2572432,-86.0755145
Hong Kong,411,24,4,0,0.0097,,106,22.2793278,114.1628131
Hungary,226,39,10,2,0.0442,,21,47.1817585,19.5060937
Iceland,737,89,0,0,0.0,1,51,64.9841821,-18.1059013
India,521,0,10,0,0.0192,,40,22.3511148,78.6677428
Indonesia,790,104,58,3,0.0734,,31,-2.4833826,117.8902853
Iran,,,,143,0.0769,,,32.6475314,54.5643516
Iraq,316,50,27,4,0.0854,,75,33.0955793,44.1749775
Ireland,,235,9,2,0.0058,25,,52.865196,-7.9794599
Isle of Man,23,10,0,0,0.0,,,54.2358167,-4.514598745698255
Israel,,514,5,2,0.0023,37,37,31.5313113,34.8667654
Italy,,,,683,0.1009,,,42.6384261,12.674297
Ivory Coast,73,48,0,0,0.0,,,7.9897371,-5.5679458
Jamaica,25,4,1,0,0.04,,,18.1152958,-77.1598454610168
Japan,,167,45,4,0.0344,57,310,36.5748441,139.2394179
Jersey,16,0,0,0,0.0,,,49.21230655,-2.1255999596428845
Jordan,153,26,0,0,0.0,,1,31.1667049,36.941628
Kazakhstan,80,12,0,0,0.0,,,47.2286086,65.2093197
Kenya,28,12,0,0,0.0,0,1,1.4419683,38.4313975
Kosovo,71,10,1,0,0.0141,,,42.5869578,20.9021231
Kuwait,195,4,0,0,0.0,5,39,29.2733964,47.4979476
Kyrgyzstan,44,2,0,0,0.0,,,41.5089324,74.724091
Latvia,221,24,0,0,0.0,,,56.8406494,24.7537645
Lebanon,333,66,4,0,0.012,2,3,33.8750629,35.843409
Liberia,4,0,0,0,0.0,,,5.7499721,-9.3658524
Liechtenstein,51,0,0,0,0.0,,,47.1416307,9.5531527
Lithuania,255,68,2,1,0.0078,,1,55.3500003,23.7499997
Luxembourg,,234,8,0,0.006,,,49.8158683,6.1296751
Macau,29,4,0,0,0.0,,10,22.1757605,113.5514142
Madagascar,19,16,0,0,0.0,,,-18.9249604,46.4416422
Malaysia,,172,17,2,0.0095,64,159,4.5693754,102.2656823
Maldives,13,0,0,0,0.0,,5,4.7064352,73.3287853
Malta,129,22,0,0,0.0,1,2,35.8885993,14.4476911
Mauritania,2,0,0,0,0.0,0,0,20.2540382,-9.2399263
Mauritius,48,12,2,0,0.0417,,,-20.2759451,57.5703566
Mexico,405,38,5,1,0.0123,7,35,19.4326296,-99.1331785
Moldova,149,40,1,0,0.0067,,2,47.2879608,28.5670941
Monaco,27,4,0,0,0.0,,1,43.7323492,7.4276832
Mongolia,10,0,0,0,0.0,2,,46.8250388,103.8499736
Montenegro,52,25,1,0,0.0192,,,42.9868853,19.5180992
Morocco,225,82,6,2,0.0267,,7,31.1728205,-7.3362482
Myanmar,3,1,0,0,0.0,,0,17.1750495,95.9999652
Namibia,6,2,0,0,0.0,0,0,-23.2335499,17.3231107
Nepal,3,1,0,0,0.0,,1,28.1083929,84.0917139
Netherlands,,852,356,80,0.0555,405,2,52.5001698,5.7480821
New Caledonia,14,5,0,0,0.0,,,-20.454288599999998,164.55660583077983
New Zealand,283,78,0,0,0.0,0,27,-41.5000831,172.8344077
Nicaragua,2,0,0,0,0.0,0,0,12.6090157,-85.2936911
Nigeria,50,10,1,0,0.02,,2,9.6000359,7.9999721
North Macedonia,177,41,2,0,0.0113,0,1,41.6171214,21.7168387
Northern Cyprus,42,3,0,0,0.0,,3,35.4594217,33.67831232848027
Norway,,209,14,2,0.0045,57,,60.5000209,9.0999715
Oman,99,15,0,0,0.0,0,17,21.0000287,57.0036901
Pakistan,997,110,7,1,0.007,,16,30.3308401,71.247499
Palestine,62,3,0,0,0.0,0,17,31.94696655,35.27386547291496
Panama,557,212,8,2,0.0144,,2,8.559559,-81.1308434
Paraguay,37,10,3,1,0.0811,,,-23.3165935,-58.1693445
Peru,480,85,7,2,0.0146,9,2,-6.8699697,-75.0458515
Philippines,636,84,38,3,0.0597,1,26,12.7503486,122.7312101
Poland,,150,14,4,0.0133,2,0,52.215933,19.134422
Portugal,,633,43,10,0.0144,61,22,40.0332629,-7.8896263
Qatar,526,0,0,0,0.0,,41,25.3336984,51.2295295
Romania,906,144,17,6,0.0188,8,86,45.9852129,24.6859225
