country,cases,new_cases,deaths,new_deaths,percent_deaths,serious_and_critical,recovered,latitude,longitude
Latvia,197,17,0,0,0.0,,,56.8406494,24.7537645
Lebanon,267,0,4,0,0.015,2,3,33.8750629,35.843409
Liberia,4,0,0,0,0.0,,,5.7499721,-9.3658524
Liechtenstein,51,5,0,0,0.0,,,47.1416307,9.5531527
Lithuania,187,44,1,0,0.0053,,1,55.3500003,23.7499997
Luxembourg,,224,8,0,0.0073,,,49.8158683,6.1296751
Macau,25,1,0,0,0.0,,10,22.1757605,113.5514142
Madagascar,3,0,0,0,0.0,,,-18.9249604,46.4416422
Malaysia,,106,15,1,0.0092,64,159,4.5693754,102.2656823
Maldives,13,0,0,0,0.0,,5,4.7064352,73.3287853
Malta,107,0,0,0,0.0,1,2,35.8885993,14.4476911
Mauritania,2,0,0,0,0.0,0,0,20.2540382,-9.2399263
Mauritius,36,8,2,1,0.0556,,,-20.2759451,57.5703566
Mexico,367,51,4,1,0.0109,7,35,19.4326296,-99.1331785
Moldova,109,0,1,0,0.0092,,2,47.2879608,28.5670941
Monaco,23,0,0,0,0.0,,1,43.7323492,7.4276832
Mongolia,10,0,0,0,0.0,2,,46.8250388,103.8499736
Montenegro,27,5,1,0,0.037,,,42.9868853,19.5180992
Morocco,143,0,4,0,0.028,,5,31.1728205,-7.3362482
Myanmar,2,0,0,0,0.0,,0,17.1750495,95.9999652
Namibia,4,1,0,0,0.0,0,0,-23.2335499,17.3231107
Nepal,2,0,0,0,0.0,,1,28.1083929,84.0917139
Netherlands,,811,276,63,0.0496,405,2,52.5001698,5.7480821
New Caledonia,9,1,0,0,0.0,,,-20.454288599999998,164.55660583077983
New Zealand,205,103,0,0,0.0,0,12,-41.5000831,172.8344077
Nicaragua,2,0,0,0,0.0,,,12.6090157,-85.2936911
Niger,2,1,0,0,0.0,,,17.7356214,9.3238432
Nigeria,40,0,1,0,0.025,,2,9.6000359,7.9999721
North Macedonia,136,0,2,0,0.0147,0,1,41.6171214,21.7168387
Northern Cyprus,39,1,0,0,0.0,,3,35.4594217,33.67831232848027
Norway,,0,10,0,0.0039,26,,60.5000209,9.0999715
Oman,84,18,0,0,0.0,0,17,21.0000287,57.0036901
Pakistan,887,12,6,0,0.0068,,6,30.3308401,71.247499
Palestine,59,0,0,0,0.0,0,17,31.94696655,35.27386547291496
Panama,345,32,6,3,0.0174,14,0,8.559559,-81.1308434
Paraguay,27,5,2,1,0.0741,,,-23.3165935,-58.1693445
Peru,395,32,5,0,0.0127,16,2,-6.8699697,-75.0458515
Philippines,552,90,35,2,0.0634,1,18,12.7503486,122.7312101
Poland,901,152,10,2,0.0111,2,0,52.215933,19.134422
Portugal,,0,23,0,0.0112,26,14,40.0332629,-7.8896263
Qatar,526,32,0,0,0.0,,41,25.3336984,51.2295295
Romania,762,186,11,4,0.0144,6,79,45.9852129,24.6859225
Russia,440,2,1,0,0.0023,,17,64.6863136,97.7453061
Rwanda,40,21,0,0,0.0,0,0,-1.9646631,30.0644358
Saint Lucia,3,1,0,0,0.0,0,0,13.8250489,-60.975036
San Marino,187,0,20,0,0.107,12,4,43.9458623,12.458306
Saudi Arabia,767,205,1,1,0.0013,,8,25.6242618,42.3528328
Senegal,79,12,0,0,0.0,,8,14.4750607,-14.4529612
Serbia,249,27,0,0,0.0,1,,44.024322850000004,21.07657433209902
Seychelles,7,0,0,0,0.0,1,0,-4.6574977,55.4540146
Singapore,558,49,2,0,0.0036,17,155,1.357107,103.8194992
Sint Maarten,2,0,0,0,0.0,,0,50.8381331,4.9237307
Slovakia,186,0,0,0,0.0,,,48.7411522,19.4528646
Slovenia,442,0,3,0,0.0068,10,0,45.8133113,14.4808369
South Africa,402,0,0,0,0.0,,,-28.8166236,24.991639
South Korea,,76,124,13,0.0137,,,36.638392,127.6961188
Spain,,,,680,0.0711,,,39.3262345,-4.8380649
Sri Lanka,97,0,0,0,0.0,,1,7.5554942,80.7137847
Sudan,2,0,1,0,0.5,,,14.5844444,29.4917691
Suriname,6,1,0,0,0.0,,,4.1413025,-56.0771187
Sweden,,0,33,8,0.0164,,,59.6749712,14.5208584
Switzerland,,,130,10,0.0132,,4,46.7985624,8.2319736
Taiwan,215,20,2,0,0.0093,0,29,23.9739374,120.9820179
Tanzania,12,0,0,0,0.0,,,-6.5247123,35.7878438
Thailand,827,106,4,3,0.0048,8,45,14.8971921,100.83273
The Gambia,2,0,1,0,0.5,,,13.470062,-15.4900464
Togo,18,0,0,0,0.0,,1,8.7800265,1.0199765
Trinidad and Tobago,57,7,0,0,0.0,,,10.8677845,-60.9821067
Tunisia,89,0,3,0,0.0337,,1,33.8439408,9.400138
Turkey,,343,44,7,0.0233,,,38.9597594,34.9249653
Ukraine,84,11,3,0,0.0357,,1,49.4871968,31.2718321
United Arab Emirates,248,50,2,0,0.0081,2,45,24.0002488,53.9994829
United Kingdom,,,422,87,0.0522,20,135,54.7023545,-3.2765753
United States,,,750,168,0.0139,454,35,39.7837304,-100.4458825
Uruguay,162,4,0,0,0.0,1,2,-32.8755548,-56.0201525
Uzbekistan,49,4,0,0,0.0,,,41.32373,63.9528098
Venezuela,84,7,0,0,0.0,2,15,8.0018709,-66.1109318
Vietnam,123,0,0,0,0.0,,17,13.2904027,108.4265113
Zambia,3,0,0,0,0.0,,0,-14.5186239,27.5599164
Zimbabwe,3,1,1,0,0.3333,0,0,-18.4554963,29.7468414
