country,cases,new_cases,deaths,new_deaths,percent_deaths,serious_and_critical,recovered,latitude,longitude
Guinea,5,1,0,0,0.0,,1,10.7226226,-10.7083587
Guyana,5,0,1,0,0.2,,,4.8417097,-58.6416891
Haiti,8,1,0,0,0.0,,,19.1399952,-72.3570972
Honduras,52,0,1,0,0.0192,,,15.2572432,-86.0755145
Hong Kong,519,65,4,0,0.0077,,111,22.2793278,114.1628131
Hungary,261,0,10,0,0.0383,,28,47.1817585,19.5060937
Iceland,802,0,0,0,0.0,1,82,64.9841821,-18.1059013
India,724,30,17,1,0.0235,,67,22.3511148,78.6677428
Indonesia,893,103,78,20,0.0873,,35,-2.4833826,117.8902853
Iran,32332,2926,2378,144,0.0735,2893,11133,32.6475314,54.5643516
Iraq,382,66,36,9,0.0942,,105,33.0955793,44.1749775
Ireland,1819,0,19,0,0.0104,25,,52.865196,-7.9794599
Isle of Man,26,3,0,0,0.0,,,54.2358167,-4.514598745698255
Israel,2693,0,8,0,0.003,46,66,31.5313113,34.8667654
Italy,86498,5959,9134,919,0.1056,3732,10950,42.6384261,12.674297
Ivory Coast,96,16,0,0,0.0,,3,7.9897371,-5.5679458
Jamaica,30,4,1,0,0.0333,,,18.1152958,-77.1598454610168
Japan,1401,0,47,0,0.0335,56,359,36.5748441,139.2394179
Jersey,32,16,1,1,0.0313,,,49.21230655,-2.1255999596428845
Jordan,212,0,0,0,0.0,,1,31.1667049,36.941628
Kazakhstan,125,45,0,0,0.0,,,47.2286086,65.2093197
Kenya,31,0,1,0,0.0323,0,1,1.4419683,38.4313975
Kosovo,86,15,1,0,0.0116,,1,42.5869578,20.9021231
Kuwait,208,0,0,0,0.0,7,57,29.2733964,47.4979476
Kyrgyzstan,58,14,0,0,0.0,,,41.5089324,74.724091
Laos,6,0,0,0,0.0,,,20.0171109,103.378253
Latvia,244,0,0,0,0.0,,,56.8406494,24.7537645
Lebanon,368,0,6,0,0.0163,2,3,33.8750629,35.843409
Liechtenstein,56,5,0,0,0.0,,,47.1416307,9.5531527
Lithuania,290,0,4,0,0.0138,,1,55.3500003,23.7499997
Luxembourg,1453,0,9,0,0.0062,,,49.8158683,6.1296751
Macau,31,2,0,0,0.0,,10,22.1757605,113.5514142
Madagascar,23,4,0,0,0.0,1,0,-18.9249604,46.4416422
Malaysia,2161,130,26,3,0.012,54,215,4.5693754,102.2656823
Maldives,13,0,0,0,0.0,,9,4.7064352,73.3287853
Mali,4,2,0,0,0.0,,0,16.3700359,-2.2900239
Malta,134,5,0,0,0.0,1,2,35.8885993,14.4476911
Mauritius,81,29,2,0,0.0247,,,-20.2759451,57.5703566
Mexico,585,0,8,0,0.0137,17,23,19.4326296,-99.1331785
Moldova,177,28,2,1,0.0113,,2,47.2879608,28.5670941
Monaco,33,6,0,0,0.0,,1,43.7323492,7.4276832
Mongolia,11,1,0,0,0.0,2,,46.8250388,103.8499736
Montenegro,70,3,1,0,0.0143,,,42.9868853,19.5180992
Montserrat,5,3,0,0,0.0,,,16.7417041,-62.1916844
Morocco,275,0,10,0,0.0364,,8,31.1728205,-7.3362482
Mozambique,5,4,0,0,0.0,,0,-19.302233,34.9144977
Myanmar,5,2,0,0,0.0,,0,17.1750495,95.9999652
Namibia,8,2,0,0,0.0,0,0,-23.2335499,17.3231107
Netherlands,8603,1172,546,112,0.0635,1034,2,52.5001698,5.7480821
New Caledonia,15,1,0,0,0.0,,,-20.454288599999998,164.55660583077983
New Zealand,368,0,0,0,0.0,1,27,-41.5000831,172.8344077
Niger,8,6,1,1,0.125,,,17.7356214,9.3238432
Nigeria,65,14,1,0,0.0154,,3,9.6000359,7.9999721
North Macedonia,201,24,3,1,0.0149,0,3,41.6171214,21.7168387
Northern Cyprus,56,14,0,0,0.0,,3,35.4594217,33.67831232848027
Norway,3346,0,14,0,0.0042,70,,60.5000209,9.0999715
Oman,131,22,0,0,0.0,0,23,21.0000287,57.0036901
Pakistan,1193,0,9,0,0.0075,,21,30.3308401,71.247499
Palestine,84,1,0,0,0.0,0,17,31.94696655,35.27386547291496
Panama,674,0,9,0,0.0134,,2,8.559559,-81.1308434
Paraguay,52,15,3,0,0.0577,,,-23.3165935,-58.1693445
Peru,580,0,7,0,0.0121,9,2,-6.8699697,-75.0458515
Philippines,803,96,54,9,0.0672,1,31,12.7503486,122.7312101
Poland,1221,0,16,0,0.0131,2,0,52.215933,19.134422
Portugal,3544,0,60,0,0.0169,61,43,40.0332629,-7.8896263
Qatar,549,0,0,0,0.0,,43,25.3336984,51.2295295
Romania,1029,0,23,0,0.0224,8,94,45.9852129,24.6859225
Russia,1036,196,3,0,0.0029,,45,64.6863136,97.7453061
Rwanda,50,10,0,0,0.0,0,0,-1.9646631,30.0644358
San Marino,218,0,21,0,0.0963,13,5,43.9458623,12.458306
Saudi Arabia,1012,0,2,0,0.002,,8,25.6242618,42.3528328
Senegal,105,6,0,0,0.0,,9,14.4750607,-14.4529612
Serbia,457,0,1,0,0.0022,1,,44.024322850000004,21.07657433209902
Seychelles,7,0,0,0,0.0,1,0,-4.6574977,55.4540146
Singapore,683,0,2,0,0.0029,18,172,1.357107,103.8194992
Slovakia,226,10,0,0,0.0,,,48.7411522,19.4528646
Slovenia,562,0,6,0,0.0107,11,0,45.8133113,14.4808369
South Africa,927,0,2,2,0.0022,,4,-28.8166236,24.991639
South Korea,9332,91,139,7,0.0149,,4528,36.638392,127.6961188
Spain,65719,7933,5138,773,0.0782,3679,9357,39.3262345,-4.8380649
Sri Lanka,106,4,0,0,0.0,,7,7.5554942,80.7137847
Suriname,8,0,0,0,0.0,,,4.1413025,-56.0771187
Sweden,2806,0,66,0,0.0235,,,59.6749712,14.5208584
Switzerland,12928,1175,231,39,0.0179,,4,46.7985624,8.2319736
Syria,5,0,0,0,0.0,0,0,34.6401861,39.0494106
Taiwan,267,15,2,0,0.0075,0,30,23.9739374,120.9820179
Tanzania,13,1,0,0,0.0,,,-6.5247123,35.7878438
Thailand,1136,91,5,1,0.0044,12,97,14.8971921,100.83273
The Gambia,4,1,1,0,0.25,,,13.470062,-15.4900464
Togo,24,0,0,0,0.0,,1,8.7800265,1.0199765
Trinidad and Tobago,61,0,1,0,0.0164,,,10.8677845,-60.9821067
Tunisia,200,0,5,0,0.025,,1,33.8439408,9.400138
Turkey,3629,0,75,0,0.0207,,,38.9597594,34.9249653
Uganda,14,5,0,0,0.0,,0,1.5333554,32.2166578
Ukraine,196,0,5,0,0.0255,,1,49.4871968,31.2718321
United Arab Emirates,405,72,2,0,0.0049,0,55,24.0002488,53.9994829
United Kingdom,14579,2921,759,181,0.0521,20,135,54.7023545,-3.2765753
United States,105012,19685,1691,397,0.0161,1677,2386,39.7837304,-100.4458825
Uruguay,217,0,0,0,0.0,4,2,-32.8755548,-56.0201525
Uzbekistan,83,18,1,1,0.012,4,,41.32373,63.9528098
Vatican City,4,0,0,0,0.0,,,41.90381485,12.453152716779822
Venezuela,113,6,2,1,0.0177,2,31,8.0018709,-66.1109318
Vietnam,153,0,0,0,0.0,,17,13.2904027,108.4265113
Zambia,16,4,0,0,0.0,,0,-14.5186239,27.5599164
Zimbabwe,5,2,1,0,0.2,0,0,-18.4554963,29.7468414
