country,cases,new_cases,deaths,new_deaths,percent_deaths,serious_and_critical,recovered,latitude,longitude
Afghanistan,94,0,2,0,0.0213,,2,33.7680065,66.2385139
Albania,174,28,6,1,0.0345,3,17,41.000028,19.9999619
Algeria,367,0,25,0,0.0681,,77,28.0000272,2.9999825
Andorra,224,36,3,3,0.0134,,3,42.5407167,1.5732033
Antigua and Barbuda,7,4,0,0,0.0,0,0,17.2234721,-61.9554608
Argentina,589,0,12,0,0.0204,,63,-34.9964963,-64.9672817
Armenia,329,63,1,1,0.003,0,18,40.7696272,44.6736646
Aruba,28,9,0,0,0.0,,1,12.5013629,-69.9618475
Australia,3143,333,13,0,0.0041,10,194,-24.7761086,134.755
Austria,7697,1299,58,9,0.0075,128,9,47.2000338,13.199959
Azerbaijan,122,29,3,1,0.0246,5,10,40.3936294,47.7872508
Bahamas,9,5,0,0,0.0,0,1,24.7736546,-78.0000547
Bahrain,458,0,4,0,0.0087,1,210,26.1551249,50.5344606
Bangladesh,48,4,5,0,0.1042,,11,24.4768783,90.2932426
Barbados,24,6,0,0,0.0,0,0,13.1500331,-59.5250305
Belarus,86,0,0,0,0.0,,22,53.4250605,27.6971358
Belgium,7284,1049,289,69,0.0397,690,858,50.6402809,4.6667145
Benin,6,0,0,0,0.0,,,9.5293472,2.2584408
Bermuda,15,8,0,0,0.0,,,32.3018217,-64.7603583
Bolivia,61,0,0,0,0.0,,,-17.0568696,-64.9912286
Bosnia,192,7,3,0,0.0156,,5,44.3053476,17.5961467
Brazil,2915,0,77,0,0.0264,,1,-10.3333333,-53.2
Brunei,114,5,0,0,0.0,,5,4.4137155,114.5653908
Bulgaria,276,56,3,0,0.0109,2,3,42.6073975,25.4856617
Burkina Faso,152,6,7,0,0.0461,,10,12.0753083,-1.6880314
Cambodia,98,0,0,0,0.0,,11,13.5066394,104.869423
Cameroon,88,18,1,0,0.0114,,2,4.6125522,13.1535811
Canada,4431,392,49,10,0.0111,23,253,61.0666922,-107.9917071
Cape Verde,5,1,1,1,0.2,,,16.0000552,-24.0083947
Cayman Islands,8,0,1,0,0.125,,,19.5417212,-80.5667132
Central African Republic,5,1,0,0,0.0,,3,7.0323598,19.9981227
Chad,5,1,0,0,0.0,,,15.6134137,19.0156172
Chile,1306,0,3,0,0.0023,,33,-31.7613365,-71.3187697
China,81340,55,3292,5,0.0405,1034,74588,35.000074,104.999927
Colombia,491,0,6,0,0.0122,,8,2.8894434,-73.783892
Congo Republic,4,-2,0,0,0.0,,,8.4407908,-80.4236988
Costa Rica,231,0,2,0,0.0087,,2,10.2735633,-84.0739102
Croatia,495,0,2,0,0.004,6,22,45.5643442,17.0118954
Cuba,67,19,2,1,0.0299,2,1,23.0131338,-80.8328748
Curaçao,7,1,1,0,0.1429,,,12.1845,-68.9640875031406
Cyprus,146,22,3,0,0.0205,6,1,34.9823018,33.1451285
Czech Republic,1925,0,9,0,0.0047,2,10,49.8167003,15.4749544
DR Congo,54,3,5,2,0.0926,,2,-4.0324901,22.457478747924338
Denmark,2017,0,41,0,0.0203,94,3,55.670249,10.3333283
Diamond Princess,712,0,10,0,0.014,9,601,53.8953584,27.5554078
Djibouti,11,0,0,0,0.0,0,0,11.8145966,42.8453061
Dominican Republic,488,0,10,0,0.0205,,2,19.0974031,-70.3028026
Ecuador,1403,0,34,0,0.0242,41,3,-1.3397668,-79.3666965
Egypt,495,0,24,0,0.0485,,130,26.2540493,29.2675469
El Salvador,13,4,0,0,0.0,,,13.8000382,-88.9140683
Equatorial Guinea,12,3,0,0,0.0,,,1.613172,10.5170357
Eritrea,6,5,0,0,0.0,,0,15.9500319,37.9999668
Estonia,538,0,1,0,0.0019,,8,58.7523778,25.3319078
Eswatini,9,4,0,0,0.0,0,0,-26.5624806,31.3991317
Ethiopia,16,4,0,0,0.0,,4,10.2116702,38.6521203
Fiji,5,0,0,0,0.0,,0,-18.1239696,179.0122737
Finland,958,78,5,2,0.0052,22,10,63.2467777,25.9209164
France,32964,3809,1995,299,0.0605,3375,4948,46.603354,1.8883335
French Polynesia,30,5,0,0,0.0,,,-16.03442485,-146.0490931059517
Gabon,7,1,1,0,0.1429,,,-0.8999695,11.6899699
Georgia,81,4,0,0,0.0,1,13,32.3293809,-83.1137366
Germany,50871,6933,351,84,0.0069,939,10894,51.0834196,10.4234469
Ghana,132,0,3,0,0.0227,,1,8.0300284,-1.0800271
Gibraltar,35,9,0,0,0.0,,13,36.10674695,-5.335277183483561
Greece,892,0,26,0,0.0291,57,42,38.9953683,21.9877132
Greenland,9,3,0,0,0.0,,2,77.6192349,-42.8125967
Grenada,7,0,0,0,0.0,1,0,12.1360374,-61.6904045
Guatemala,25,2,1,0,0.04,,5,15.6356088,-89.8988087
Guernsey,34,4,0,0,0.0,,,49.579520200000005,-2.5290434448309886
